pref_name	chembl_id	indication_class	mw_freebase	canonical_smiles
HELIUM	CHEMBL1796997	Gases, Diluent for	4.00	[He]
AMMONIA SOLUTION, STRONG	CHEMBL1160819	Pharmaceutic Aid (solvent and source of ammonia),Radioactive Agent; Diagnostic Aid (cardiac imaging); Diagnostic Aid (liver imaging)	17.03	N
AMMONIA N 13	CHEMBL1201189	Radioactive Agent; Diagnostic Aid (cardiac imaging); Diagnostic Aid (liver imaging)	17.03	[13NH3]
WATER	CHEMBL1098659	Diagnostic Aid (radioactive, vascular disorders); Radioactive Agent,Radioactive Agent	18.02	O
NITROGEN	CHEMBL142438	Pharmaceutic Aid (air displacement)	28.01	N#N
NITRIC OXIDE	CHEMBL1200689		30.01	[N]=O
FORMALDEHYDE	CHEMBL1255	Disinfectant	30.03	C=O
OXYGEN	CHEMBL1234886	Gas, Medicinal	32.00	O=O
HYDROGEN PEROXIDE	CHEMBL71595	Anti-Infective, Topical	34.01	OO
MAGNESIUM OXIDE	CHEMBL1200572	Pharmaceutic Aid (sorbent)	40.30	O=[Mg]
SODIUM FLUORIDE F 18	CHEMBL1200744	Radioactive Agent	41.99	[18F-].[Na+]
SODIUM FLUORIDE	CHEMBL1528	Dental Caries Prophylactic,Radioactive Agent	41.99	[F-].[Na+]
CALCIUM	CHEMBL5072826		42.09	[Ca+2].[H-].[H-]
NITROUS OXIDE	CHEMBL1234579	Anesthetic (inhalation)	44.01	[N-]=[N+]=O
ALCOHOL	CHEMBL545	Pharmaceutic Aid (solvent); Anti-Infective, Topical	46.07	CCO
SODIUM NITRITE	CHEMBL93268	Antidote (to cyanide poisoning)	47.01	O=N[O-].[Na+]
NITROUS ACID	CHEMBL1161681	Antidote (to cyanide poisoning)	47.01	O=NO
HYPOCHLOROUS ACID	CHEMBL1616046	Disinfectant	52.46	OCl
SODIUM HYPOCHLORITE	CHEMBL1334078	Disinfectant	52.46	[Na+].[O-]Cl
AMMONIUM CHLORIDE	CHEMBL1200939	Acidifier; Diuretic	53.49	Cl.N
MAGNESIUM HYDROXIDE	CHEMBL1200718	Laxative; Antacid	58.32	[Mg+2].[OH-].[OH-]
SODIUM CHLORIDE	CHEMBL1200574	Pharmaceutic Aid (tonicity agent),Radioactive Agent	58.44	[Cl-].[Na+]
GUANIDINE	CHEMBL821		59.07	N=C(N)N
GUANIDINE HYDROCHLORIDE	CHEMBL1200728		59.07	Cl.N=C(N)N
ACETIC ACID	CHEMBL539	Pharmaceutic Aid (acidifying agent)	60.05	CC(=O)O
UREA	CHEMBL985	Diuretic	60.06	NC(N)=O
UREA C 14	CHEMBL2096635		60.06	N[14C](N)=O
UREA C 13	CHEMBL2096648		60.06	N[13C](N)=O
ISOPROPYL ALCOHOL	CHEMBL582	Anti-Infective, Topical; Pharmaceutic Aid (solvent)	60.10	CC(C)O
BORIC ACID	CHEMBL42403		61.83	OB(O)O
MACROGOL	CHEMBL457299		62.07	OCCO
VINYL CHLORIDE	CHEMBL2311071		62.50	C=CCl
ETHYL CHLORIDE	CHEMBL46058	Anesthetic (topical)	64.52	CCCl
PROPIOLACTONE	CHEMBL1200627	Disinfectant	72.06	O=C1CCO1
LITHIUM CARBONATE	CHEMBL1200826	Antimanic	73.89	O=C([O-])[O-].[Li+].[Li+]
CALCIUM HYDROXIDE	CHEMBL2106388	Astringent	74.09	[Ca+2].[OH-].[OH-]
POTASSIUM CHLORIDE	CHEMBL1200731	Radioactive Agent,Replenisher (electrolyte)	74.55	[Cl-].[K+]
GLYCINE	CHEMBL773		75.07	NCC(=O)O
ACETOHYDROXAMIC ACID	CHEMBL734	Enzyme Inhibitor (urease)	75.07	CC(=O)NO
HYDROXYUREA	CHEMBL467	Antineoplastic	76.05	NC(=O)NO
CYSTEAMINE BITARTRATE	CHEMBL2062263		77.15	NCCS.O=C(O)C(O)C(O)C(=O)O
CYSTEAMINE HYDROCHLORIDE	CHEMBL1256137	Anti-Urolithic (cystine calculi)	77.15	Cl.NCCS
CYSTEAMINE	CHEMBL602	Anti-Urolithic (cystine calculi)	77.15	NCCS
ARSENIC	CHEMBL1231052		77.95	[AsH3]
ALUMINUM HYDROXIDE	CHEMBL1200706	Antacid	78.00	O[Al](O)O
ALMASILATE	CHEMBL3833322		78.10	O.O=[Si]([O-])[O-].O=[Si]([O-])[O-].O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Al+3].[Al+3].[Mg+2]
SILICATE	CHEMBL2068408		78.10	O=[Si](O)O
DIMETHYL SULFOXIDE	CHEMBL504	Anti-Inflammatory (topical)	78.14	C[S+](C)[O-]
ZINC OXIDE	CHEMBL3988900		81.39	[O-2].[Zn+2]
SODIUM ACETATE	CHEMBL1354	Pharmaceutic Aid (in dialysis solutions),Radioactive Agent	82.03	CC(=O)[O-].[Na+]
FOMEPIZOLE	CHEMBL1308	Antidote (alcohol dehydrogenase inhibitor)	82.11	Cc1cn[nH]c1
KRYPTON KR 81M	CHEMBL1201096	Radioactive Agent	83.80	[81Kr]
KRYPTON	CHEMBL1233877	Radioactive Agent	83.80	[Kr]
SODIUM BICARBONATE	CHEMBL1353	Alkalizer (systemic); Replenisher (electrolyte)	84.01	O=C([O-])O.[Na+]
MAGNESIUM CARBONATE	CHEMBL1200736	Antacid	84.31	O=C([O-])[O-].[Mg+2]
PIPERAZINE	CHEMBL1412	Anthelmintic	86.14	C1CNCCN1
URETHANE	CHEMBL462547		89.09	CCOC(N)=O
